Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Daniel Schneemann","CLE",221,94.1843853820598,,88.88784047719595,86.9090909090909,,92.9123790922619,84.34411764705882,79.66029268152573,79.7923114483173,,86.03206255963741,,79.88333129882812,"Daniel Schneemann",25180,682177
"Daniel Vogelbach","TOR",79,93.8249981219952,,91.65090553977272,85.81428745814732,,93.9333281935307,85.28492883133562,80.81723969558189,75.80000305175781,,85.35000375600961,,,"Daniel Vogelbach",14130,596129
"Danny Jansen","- - -",324,94.59421341507523,,90.24158560875618,87.18800048828125,,93.26334700261454,84.75321041188838,80.11515299479167,82.41428629557292,,85.31121312792057,,76.73333740234375,"Danny Jansen",16535,643376
"Danny Mendick","CHW",141,93.94561517726608,,89.50850856050532,87.86666870117188,,92.72650367093374,84.53559487552967,78.67000122070313,80.5,,84.88030450994319,,,"Danny Mendick",18889,664901
"Dansby Swanson","CHC",593,94.53442610981308,,89.10752688172043,86.71249728732639,,93.51915228544776,84.86622807017544,79.86363636363636,82.03333536783855,53.3999989827474,85.60955166457286,,,"Dansby Swanson",18314,621020
"Darell Hernaiz","OAK",135,93.44166395399306,,87.88157894736842,87.15833536783855,,92.90899315308988,84.30420332195378,79.16666666666667,80.35999755859375,55.6000010172526,84.63091264204546,,,"Darell Hernaiz",26224,687231
"Daulton Varsho","TOR",513,94.34582743988685,,89.52742250504032,86.83181670217803,,92.72868681523904,84.08488063660478,79.6842628761574,81.46428571428571,,86.324796875,,75.47999877929688,"Daulton Varsho",19918,662139
"David Dahl","PHI",62,94.25230618990385,,89.56785365513393,85.7874984741211,,94.94999694824219,83.5690127090669,80.3681807084517,76.56666564941406,,87.34347932235055,,76.34000244140626,"David Dahl",13744,621311
"David Fry","CLE",392,93.84673038939052,,88.79929216533688,85.14500122070312,79.93333435058594,93.28089887640449,83.97598115208878,79.64125366210938,81.44615760216347,53.20000076293945,84.98300270629085,,78.56000366210938,"David Fry",24934,681807
"David Hamilton","BOS",317,93.975,,90.39262615266394,85.82641140919812,,93.61595331671779,84.44675925925925,79.94070623617256,81.8480029296875,52.166666666666664,86.48711973248106,,79.33333333333333,"David Hamilton",27531,666152
"David Hensley","MIA",58,93.77707926432292,,88.9000015258789,85.97499593098958,,93.325927734375,84.888330078125,79.62857491629464,80.77143205915179,,85.1891891891892,,,"David Hensley",25111,682073
"David Peralta","SDP",260,94.30994762073864,,90.10434358016305,86.35135135135135,,93.20595767798014,85.4511385830966,79.16794996995192,80.6937484741211,34.29999923706055,85.8125,,,"David Peralta",2136,444482
"Davis Schneider","TOR",454,94.13093956195014,,89.51751191737289,88.25428989955357,,93.00985620471015,84.2236279539801,79.23904389880953,83.27837969805744,39.94999694824219,84.71420565518466,,74.69999694824219,"Davis Schneider",23565,676914
"Daz Cameron","OAK",186,93.11796569824219,,89.14666883680556,84.28571428571429,,93.70325203252033,84.0912408759124,77.48076923076923,82.53333197699652,42.400001525878906,83.22577218911083,,,"Daz Cameron",18353,663662
"Derek Hill","- - -",172,93.91232676048801,,88.68979442362883,85.35789329127262,,93.3054532137784,84.86705202312139,79.79736649362664,82.22500228881836,,85.27352905273438,,76.0999984741211,"Derek Hill",16947,656537
"Dillon Dingler","DET",87,94.04166666666667,,89.28125,83.4857177734375,,93.41428571428571,83.52675918794014,77.63888888888889,84.34286063058036,,85.06764849494485,,,"Dillon Dingler",27464,693307
"DJ LeMahieu","NYY",228,93.85697965801887,,90.32045676491477,87.38749694824219,,92.62329656427556,84.4212312325419,78.86226783608491,80.66666666666667,65.5,84.6624984741211,,,"DJ LeMahieu",9874,518934
