Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Charlie Blackmon","COL",499,-2.385348703787433,,0.09980392456054688,-4.348215051599451,,0.591072971083553,1.3353848266601562,3.240521867698598,3.0622502768911968,,-6.80270512898763,-5.119869709014893,-0.529590904712677,"Charlie Blackmon",7859,453568
"Edmundo Sosa","PHI",274,0.8289234384228683,,0.5635008171423158,-2.870467049734933,-3.5425575256347654,-3.594247529000947,1.915844846239277,1.0949255453573692,0.4717752592904227,-3.730029821395874,5.624080757472826,-4.390200138092041,-0.6827459335327148,"Edmundo Sosa",17022,624641
"Matt Wallner","MIN",261,-2.300183422534497,,0.5837474359530155,-6.999908447265625,,-4.739672714404845,1.8571063016368226,2.9220617971112652,2.2387452125549316,,-6.844643729073661,,-0.7690181732177734,"Matt Wallner",26466,670242
"Zach Neto","LAA",602,-2.8251105764067868,,1.068425604637633,-5.1414215530174365,,-7.001142090950964,2.925232964909754,2.7193930620204902,2.90465340247521,,-1.1353208269391741,,-0.8005008697509766,"Zach Neto",31347,687263
"LaMonte Wade Jr.","SFG",401,-3.730091161260861,,0.5853952219788457,-6.39145858973673,,-6.172854301257011,1.5192760820148372,4.046276017731311,3.263464751066985,-2.1209499835968018,-8.37564017026479,,-0.8164818763732911,"LaMonte Wade Jr.",18126,664774
"Francisco Alvarez","NYM",342,-2.203894597833807,,0.408161197088461,-3.8260631561279297,,-5.7750768699799195,2.3577159984691725,2.761583989209468,2.7544966610995205,,4.28973151642142,,-0.8616543610890707,"Francisco Alvarez",26121,682626
"Paul Goldschmidt","STL",654,-2.0575067835810024,,1.119432337143842,-4.114832064000572,,-4.711437354507619,2.8144140625,1.5224765186578455,1.7308118953261264,,0.5336353607821566,-4.239256858825684,-0.909362656729562,"Paul Goldschmidt",9218,502671
"Luke Maile","CIN",154,-1.7511711120605469,,0.871138334274292,0.12973793347676596,,-4.3360935822697995,2.344133793912976,0.8581851836173765,2.2717634201049806,3.264171282450358,5.436929931640625,,-1.0119909286499023,"Luke Maile",13355,571912
"Nolan Schanuel","LAA",607,-2.7785077827337337,,0.562438024728784,-6.440826802314082,,-0.1173928011031378,0.8719647362118675,4.296335921748992,2.783025990361753,,-8.489379392570282,,-1.225029127938407,"Nolan Schanuel",33189,694384
"Reese McGuire","BOS",158,-4.226055627581717,,0.4114560347336989,-7.526667594909668,,-4.1249560187844665,2.054183156866776,5.418240715475643,4.53200626373291,,-7.629285176595052,,-1.2567678292592366,"Reese McGuire",15674,624512
