Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Joe Boyle","OAK",47.2,96.27919298245612,,,,141.73651463963964,108.03555555555556,,,,106.4804362527105,79.84895586019333,89.33394325407032,"Joe Boyle",29608,671212
"Jalen Beeks","- - -",70,90.06078063067567,,107.98969260533664,,,116.44907407407408,94.10360218044278,,,94.41259571363534,92.12023774798423,89.18644753389621,"Jalen Beeks",17192,656222
"Osvaldo Bido","OAK",63.1,106.67475961538463,108.22704761904762,117.02927152317879,,112.4756053811659,,79.38546583850932,,,104.8474692727805,82.26103660168816,89.04431288584917,"Osvaldo Bido",23150,674370
"Jordan Weems","WSN",41.2,93.77636363636364,,,117.252,109.119765625,130.56333333333333,,,,100.06473324213405,88.89737346101231,88.78683994528046,"Jordan Weems",13190,607179
"Matt Moore","LAA",48.1,86.48272300469483,,121.33999999999999,,,,124.51522388059702,107.02440000000003,,102.38424028268548,86.72617196702001,88.7605653710247,"Matt Moore",1890,519043
"Michael Lorenzen","- - -",130.1,83.70514084507043,99.15760180995476,88.64267942583731,,100.83955926781552,81.01341463414634,90.59277353689568,,,90.80878321079223,95.30162104761807,88.44390862510805,"Michael Lorenzen",14843,547179
"Marcus Stroman","NYY",154.2,82.6,85.01487702942805,89.2742330521712,72.43568541807866,97.15947812615615,98.82376732414735,,,,88.12399432051492,97.25188462695402,88.40390148874606,"Marcus Stroman",13431,573186
"Tanner Rainey","WSN",51,104.85639639639635,,,,104.45484615384613,,83.07384615384616,,,104.44364217252395,84.92922257720984,88.39122470713525,"Tanner Rainey",17610,663432
"Scott Barlow","CLE",55,87.49521531100481,86.2833576642336,,,108.46017353579175,118.96483720930236,,,,103.25883168316828,86.73964356435641,88.25831683168316,"Scott Barlow",14993,605130
"Nick Anderson","KCR",35.2,72.56263565891476,72.29812080536914,,,,109.4527969348659,88.48647058823529,,,91.34683870967741,99.76599999999999,88.21864516129025,"Nick Anderson",18337,623433
"Jake Woodford","- - -",35,85.10125000000001,86.26888221180798,85.36444209039547,,105.48207413147358,,74.66748387096774,,,90.93056136420213,97.57709248195171,87.85875298730396,"Jake Woodford",18674,663765
"Alex Wood","OAK",39.1,,91.52957020057308,,,94.76,,78.2434319526627,,,89.71333333333335,101.04326639892906,87.64618473895582,"Alex Wood",13781,622072
