Name,Team,PA,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Jason Heyward","- - -",258,-1.4735393188893795,,1.3781936503946781,0.13757691532373428,0.01976090669631958,-2.541689231991768,3.1042595468461514,0.2969954237341881,-0.289052851498127,-0.21473969519138336,-2.5270666107535362,,0.7655333578586578,"Jason Heyward",4940,518792
"Jacob Hurtubise","CIN",68,-2.7025297209620476,,-1.0322053991258144,-0.1720159538090229,,-0.15287746861577034,-0.21884670108556747,-0.19372998550534248,-0.4435781165957451,,1.571152899414301,,0.7050097584724426,"Jacob Hurtubise",27599,674441
"Lane Thomas","- - -",528,2.396744381636381,,-2.4077540412545204,-0.8640161715447903,,0.8995126932859421,-3.2581867948174477,1.33012655377388,-1.1647420190274715,,2.90325478464365,,0.6915145143866539,"Lane Thomas",16939,657041
"Willie Calhoun","LAA",254,-2.338070433586836,,-2.7751028425991535,1.3470755517482758,,0.17471393197774887,0.8248515613377094,1.776297353208065,0.4932112507522106,,-2.851545572280884,,0.6784595139324665,"Willie Calhoun",17838,641432
"Adam Duvall","ATL",330,-2.506364617496729,,0.9325693994760513,0.05175459384918213,,-3.981999211013317,-9.249919712543488,-1.6600542552769184,1.8465805165469646,0.09843487665057182,-2.433656245470047,,0.6484220884740353,"Adam Duvall",10950,594807
"Wilyer Abreu","BOS",447,-1.647763017565012,,0.9640809670090675,-2.0734062418341637,,6.429805770516396,-1.0839574970304966,-0.9970800541341305,-1.0048240795731544,0.2354232482612133,5.245935268700123,-0.10814008116722107,0.6443766467273235,"Wilyer Abreu",23772,677800
"Matt Olson","ATL",685,4.529907681047916,,3.469522751867771,1.6005218140780926,-0.09169695153832436,2.737515728920698,-2.9155016243457794,-2.7892565466463566,1.3036875873804092,0.492256835103035,2.84025302529335,0.06337367743253708,0.6342078633606434,"Matt Olson",14344,621566
"Xavier Edwards","MIA",303,3.5339799597859383,,1.2534247040748596,-0.3260652646422386,,6.494149971753359,1.006170678883791,0.4320862591266632,0.8961642682552338,,2.0812375508248806,,0.6089966036379337,"Xavier Edwards",22266,669364
"Bryson Stott","PHI",571,-6.231316812336445,,-4.859095338732004,-0.6140963137149811,-0.22985518351197243,0.7744077481329441,3.796145047992468,1.4263044446706772,0.38229667767882347,,-1.293539546430111,,0.5972049199044704,"Bryson Stott",26294,681082
"Starling Marte","NYM",370,1.5725442506372929,,0.6639783009886742,-0.16471530497074127,,-7.6474258825182915,1.7867101095616817,0.9382422864437103,-0.7904863022267818,,3.174058023840189,,0.5726618953049183,"Starling Marte",9241,516782
