Name,Team,IP,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Luis Medina","OAK",40,46.09812892156862,48.78310466019418,,,31.592613259668507,37.270410000000005,48.967976315789464,,38.54252559722222,46.22013180555555,40.35952006944444,0.8372210694444444,5.332924194444445,"Luis Medina",21649,665622
"Tommy Kahnle","NYY",42.2,30.95872688405796,20,,,30.740651999999994,,50.03403943820225,,38.626830701513065,55.65541982118294,37.22575162310868,0.8319842228335624,5.325068707015132,"Tommy Kahnle",11384,592454
"Tyler Kinley","COL",64,31.097454627249363,20,,,55.37446162983424,,24.88501380952381,,39.19082130212766,48.69581185531914,44.235359131914876,0.7969451659574468,5.272510561702131,"Tyler Kinley",18297,641755
"Chris Flexen","CHW",160,41.489727949955444,54.702075,54.607144858420256,,41.38965551912568,44.32930066081872,44.643817537190074,,39.24701548403189,43.509780727523676,44.02142920296663,0.7934542814976178,5.267273229539954,"Chris Flexen",13896,623167
"Bryce Jarvis","ARI",59.1,47.9611817002882,49.77564400000001,49.88077125,,38.15428138655462,20,34.35517145985401,,39.3582844345238,46.42787761904763,42.51511550595238,0.7865407738095239,5.256902718253968,"Bryce Jarvis",27477,686826
"Bryce Elder","ATL",49.2,41.02843345454545,45.215800815217385,,,57.60527378676471,,36.48000631578947,,39.67250479166666,35.161836701388886,47.98934482638889,0.7670193981481481,5.227621597222221,"Bryce Elder",27779,693821
"Taijuan Walker","PHI",83.2,26.204912124946873,45.7506697238842,43.677109916593764,52.037012915106715,55.099406746255546,51.84811554459202,,,39.78683172201105,30.888421910973857,42.64858796919251,0.7599165939710695,5.216965989758209,"Taijuan Walker",11836,592836
"Jose Quintana","NYM",170.1,31.2638303015873,55.3462006875754,,,,48.19921408672799,44.14891926415094,,39.97991081973158,37.7812155930359,43.48078478055859,0.7479227348567284,5.198976071817192,"Jose Quintana",11423,500779
"Angel Chivilli","COL",31.2,,39.51981378504673,,,44.50618765957448,,54.82921565853658,,40.05811750972764,45.87332350194552,44.884553132295736,0.7430623540856032,5.191685817120623,"Angel Chivilli",26790,683409
"Hayden Birdsong","SFG",72,34.53853794830371,,,,42.40790231372549,46.78277046332047,39.075447843137255,,40.24160159221902,55.211419185878974,33.816404157060525,0.7316641642651297,5.174588523054755,"Hayden Birdsong",31635,806185
"Anthony Molina","COL",59.2,53.58484105521994,,,,59.475774181583766,50.63285453125,37.073508210450825,68.14029,40.331431862037974,33.581092904078915,48.9919526455303,0.7260838114690271,5.166218002894586,"Anthony Molina",26952,683627
"Scott McGough","ARI",32.2,56.01626770992365,46.723153181818184,,46.325878034682084,59.87193631578947,,,80,40.335792439446365,36.54927700692042,49.003223200692034,0.7258122837370242,5.165810588235294,"Scott McGough",12056,543518
