Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Brandon Nimmo","NYM",0.27562062,0.67744681,0.44756009,0.6073903,0.88442211,0.78681855,0.42789512,0.58974359,0.09530738,0.16151328,0.25682066,"Brandon Nimmo",12927,607043
"Ezequiel Duran","TEX",0.41396934,0.75177305,0.55544554,0.62962963,0.87106918,0.76648841,0.41881188,0.67368421,0.12931885,0.12734452,0.25666338,"Ezequiel Duran",23733,677649
"Eric Wagaman","LAA",0.34459459,0.72727273,0.51672862,0.58823529,0.90909091,0.79136691,0.44981413,0.64864865,0.10780669,0.14869888,0.25650558,"Eric Wagaman",23395,676572
"Trea Turner","PHI",0.3830313,0.76357057,0.53744493,0.56344086,0.8957346,0.75500911,0.40577582,0.66604824,0.1316047,0.12475538,0.25636008,"Trea Turner",16252,607208
"Mookie Betts","LAD",0.22930464,0.65435042,0.40351734,0.68592058,0.94899818,0.86077482,0.4098681,0.60852713,0.05615234,0.20019531,0.25634766,"Mookie Betts",13611,605141
"Francisco Lindor","NYM",0.30506246,0.7147651,0.48507188,0.66163793,0.85446009,0.78647416,0.43936602,0.60232221,0.10346097,0.15279823,0.2562592,"Francisco Lindor",12916,596019
"Nathaniel Lowe","TEX",0.27138643,0.639,0.42741935,0.66847826,0.89514867,0.8123138,0.42444822,0.6,0.08018668,0.17607128,0.25625796,"Nathaniel Lowe",19566,663993
"Blake Sabol","SFG",0.31944444,0.78846154,0.51612903,0.39130435,0.92682927,0.734375,0.41935484,0.57894737,0.136,0.12,0.256,"Blake Sabol",25805,666165
"Tyler Freeman","CLE",0.3125,0.66331658,0.46415641,0.74285714,0.92424242,0.8549142,0.43229544,0.62140992,0.06724512,0.18872017,0.25596529,"Tyler Freeman",22532,671289
"Fernando Tatis Jr.","SDP",0.32466063,0.75562219,0.50999355,0.57142857,0.84920635,0.74841972,0.43004513,0.63013699,0.12830432,0.12765957,0.25596389,"Fernando Tatis Jr.",19709,665487
"Taylor Walls","TBR",0.24356775,0.71460674,0.44747082,0.6056338,0.84591195,0.77173913,0.43287938,0.59920635,0.10214008,0.1536965,0.25583658,"Taylor Walls",22458,670764
"Whit Merrifield","- - -",0.27734375,0.6886121,0.45112782,0.69014085,0.90697674,0.83,0.42255639,0.6358209,0.07669173,0.17894737,0.2556391,"Whit Merrifield",11281,593160
"Manny Machado","SDP",0.33456699,0.7519305,0.5157101,0.62610619,0.8703466,0.78066613,0.4340176,0.62986003,0.113018,0.14231896,0.25533696,"Manny Machado",11493,592518
