Name,Team,IP,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Ryan Burr","TOR",32.2,48.64099650733752,,,,47.64042477520364,,,,46.692861270248365,49.92073237725376,47.174870000000006,0.33087080847615574,4.5733992426157775,"Ryan Burr",17536,621114
"Jon Gray","TEX",102.2,37.32500205555555,,,,39.131121575246134,42.991380945945956,41.08310356521739,,46.76923496014715,37.024071943592894,59.789579809932555,0.3261267811158798,4.56628299202943,"Jon Gray",14916,592351
"Austin Adams","OAK",41.1,61.797775572916656,,,,57.95760727272728,,,,46.77842585093169,64.80027531677021,38.837039975155285,0.32555575155279504,4.565426322981368,"Austin Adams",13801,613534
"Steven Wilson","CHW",34.2,54.402680645161304,,54.83139,,57.89445786833857,,56.229637999999994,,46.813556372391645,59.584431669341896,37.730586629213484,0.3233732584269663,4.5621527287319426,"Steven Wilson",20353,621051
"Héctor Neris","- - -",59.1,42.55726004282655,46.728162020202014,,55.28478687960689,30.70507142857143,,,,46.82982930761623,47.311646597428286,45.02452134520278,0.32236239366963404,4.560636211671612,"Hector Neris",11804,593576
"Joe Kelly","LAD",32,56.77891748148148,59.61033398692812,,,71.24356991228072,,63.77896578947368,59.88131677419354,46.93699475836431,62.48122466542751,39.30800656133829,0.31570401486988847,4.5506485130111525,"Joe Kelly",9761,523260
"Scott Barlow","CLE",55,58.415895311004775,50.182022352941175,,,52.236658069414304,59.04786158139536,,,46.93794893450635,56.25461705767349,38.04664782013684,0.3156449169110458,4.550559931573803,"Scott Barlow",14993,605130
"Ronel Blanco","HOU",167.1,46.0415252985782,,,,35.793736313253,52.51612829457364,54.35149457236844,,46.95627681438431,45.73741633490738,46.98415864148201,0.3145064802034144,4.5488522811478385,"Ronel Blanco",19407,669854
"Brady Singer","KCR",179.2,48.92345029850746,42.947960530179444,,,47.57968922962962,,37.28747625,,46.985510101044135,46.20480837655778,48.895271889525105,0.3126897743347929,4.54612714045133,"Brady Singer",25377,663903
"Jake Woodford","- - -",35,39.344608819444446,37.024976088301905,41.11908955861582,,45.11502833979078,,32.63577735483871,,46.9925827807519,40.618279702436766,54.44882656100978,0.312248921906663,4.545466137676557,"Jake Woodford",18674,663765
"Osvaldo Bido","OAK",63.1,50.69815004807693,63.272486666666666,72.56788145695364,,51.15082654708521,,46.32737745341615,,47.00775150568182,54.0700624715909,46.26063944128788,0.3113091003787879,4.54405615530303,"Osvaldo Bido",23150,674370
"Alex Faedo","DET",57.1,44.86663692090396,56.26396164164165,,,44.70840503759399,,57.057047600000004,,47.030538152929495,49.34342338629592,49.76193649453823,0.3098922840119166,4.541931479642503,"Alex Faedo",19874,656412
"David Peterson","NYM",121,46.284606330645154,52.84152431034483,,,56.68293075362318,57.46317559440559,51.03453166123779,,47.091844112000004,50.67514331733334,46.47747658666666,0.30608423466666673,4.536219461333333,"David Peterson",20302,656849
"Adrian Houser","NYM",69.1,43.228287928229655,43.87299998818151,,,34.69808951253996,41.08828078555231,50.714464862308425,,47.23539545585934,39.82297849452493,52.13635457372644,0.2971656473168741,4.5228414576957086,"Adrian Houser",12718,605288
"Jordan Hicks","SFG",109.2,35.845101450943396,48.81301629960317,,51.54884997319034,56.34381690021232,,,,47.23898262244899,51.1075975255102,41.9835393877551,0.2969424132653062,4.522505612244897,"Jordan Hicks",19618,663855
"Jordan Leasure","CHW",31.1,58.146735074626875,,,,51.26379111801241,52.490001875000004,,,47.24660157142857,53.93491662500001,41.12235221428572,0.29646957142857144,4.521796571428572,"Jordan Leasure",29950,673929
"Yariel Rodríguez","TOR",86.2,54.37675348760331,48.2170569032258,,46.84157818181818,57.221900117924534,49.15880432258064,,,47.27029096166779,52.96680081371891,44.656867431069266,0.2949983322125084,4.519589630127774,"Yariel Rodriguez",33838,684320
"Jeffrey Springs","TBR",33,42.9835710460251,20,39.60897,,30.518383984962405,,56.05560340782122,,47.27059748672567,43.97968530973452,45.7840638938053,0.2949778584070797,4.519559646017699,"Jeffrey Springs",17677,605488
