Name,Team,PA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Brandon Lowe","TBR",425,0.3091133,,0.06834975,0.05541872,,0.09975369,0.19642857,0.08128079,0.0135468,,0.17549261,,0.00061576,,"Brandon Lowe",18882,664040
"Danny Mendick","CHW",141,0.31666667,,0.08703704,0.02222222,,0.1537037,0.21851852,0.07407407,0.00555556,,0.12222222,,,,"Danny Mendick",18889,664901
"Leody Taveras","TEX",529,0.34312749,,0.06324701,0.04531873,,0.12051793,0.15936255,0.08665339,0.01992032,,0.16185259,,,,"Leody Taveras",18900,665750
"Estevan Florial","CLE",111,0.32222222,,0.10444444,0.04,,0.06444444,0.21111111,0.06222222,0.03777778,,0.15777778,,,,"Estevan Florial",19151,664314
"Will Smith","LAD",544,0.34214003,,0.0761779,0.02069573,0.00176134,0.19066491,0.22413034,0.05372083,0.01453104,,0.07045354,,0.00572435,,"Will Smith",19197,669257
"Yuli Gurriel","KCR",65,0.36298932,,0.0569395,0.04626335,,0.16725979,0.17081851,0.113879,0.01067616,,0.07117438,,,,"Yuli Gurriel",19198,493329
"Lourdes Gurriel Jr.","ARI",553,0.33701392,,0.05712914,0.02352376,0.00096015,0.15794527,0.24243879,0.05616899,0.01968315,,0.09889582,,0.006241,,"Lourdes Gurriel Jr.",19238,666971
"Pete Alonso","NYM",695,0.29388489,,0.06834532,0.02589928,,0.2205036,0.25107914,0.05539568,0.01366906,0.00359712,0.06654676,,0.00107914,,"Pete Alonso",19251,624413
"Cavan Biggio","- - -",224,0.33612565,,0.1026178,0.02722513,,0.12984293,0.19581152,0.07434555,0.01884817,,0.10366492,,0.01151832,,"Cavan Biggio",19252,624415
"Jake Fraley","CIN",382,0.29075883,,0.09015778,0.05634861,,0.1322314,0.17129977,0.11495116,0.0202855,,0.11870774,,0.0052592,,"Jake Fraley",19260,641584
"Garrett Hampson","KCR",231,0.32842582,,0.08380521,0.02151755,,0.1200453,0.25028313,0.07587769,0.01698754,,0.10305776,,,,"Garrett Hampson",19262,641658
"Adolis García","TEX",637,0.35175681,,0.07303593,0.0244769,,0.17804974,0.22266088,0.0422424,0.00829056,,0.09948677,,,,"Adolis Garcia",19287,666969
"Randy Arozarena","- - -",648,0.28586878,,0.07570296,0.02090844,,0.19466474,0.2444124,0.06200433,0.01910598,0.00036049,0.09697188,,,,"Randy Arozarena",19290,668227
"Nick Senzel","- - -",267,0.30248756,,0.06965174,0.0238806,,0.19701493,0.24477612,0.07064677,0.0119403,,0.07562189,,0.0039801,,"Nick Senzel",19293,669222
"Alex Call","WSN",113,0.32657201,,0.05476673,0.03042596,,0.22515213,0.17647059,0.06693712,0.04868154,,0.07099391,,,,"Alex Call",19296,669743
"Matt Thaiss","LAA",186,0.44297082,,0.08222812,0.04111406,,0.10079576,0.15384615,0.0596817,0.01458886,,0.10477454,,,,"Matt Thaiss",19318,642136
"Bryan Reynolds","PIT",692,0.27534562,,0.08179724,0.05069124,,0.15360983,0.17473118,0.08141321,0.02112135,,0.16129032,,,,"Bryan Reynolds",19326,668804
"Nicky Lopez","CHW",445,0.32493857,,0.11240786,0.03501229,,0.14619165,0.19348894,0.08722359,0.00921376,,0.09152334,,,,"Nicky Lopez",19339,670032
"Sean Murphy","ATL",264,0.27898209,,0.06597549,0.01036758,,0.21017908,0.29029218,0.04618285,0.01979265,0.00282752,0.07445806,0.00094251,,,"Sean Murphy",19352,669221
"Luke Raley","SEA",455,0.26530612,,0.09620991,0.04489796,,0.12478134,0.23498542,0.06938776,0.02332362,0.00291545,0.13819242,,,,"Luke Raley",19354,670042
"Weston Wilson","PHI",98,0.26385224,,0.07387863,0.02638522,,0.1530343,0.22955145,0.11873351,0.00263852,,0.13192612,,,,"Weston Wilson",19358,642215
"Austin Hays","- - -",255,0.28994083,,0.06627219,0.01775148,,0.16804734,0.27100592,0.07692308,0.00591716,,0.09940828,0.00473373,,,"Austin Hays",19363,669720
"Zach McKinstry","DET",325,0.36647955,,0.08580593,0.03047314,,0.11307137,0.20288693,0.07457899,0.02245389,0.00240577,0.1010425,0.00080192,,,"Zach McKinstry",19392,656716
"Brian Serven","TOR",71,0.37596899,,0.06976744,,,0.18604651,0.24418605,0.04263566,0.00387597,,0.07751938,,,,"Brian Serven",19422,661531
