Name,Team,IP,botOvr FA,botOvr SI,botOvr FC,botOvr FS,botOvr SL,botOvr CU,botOvr CH,botOvr KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Reynaldo López","ATL",135.2,56.17626383690986,,,,45.05832562903226,48.78081422131147,52.87927506172839,,51.81527149267832,40.727127132735006,57.705095040151164,0.01263468587623997,4.096044114312705,"Reynaldo Lopez",16400,625643
"Thyago Vieira","- - -",38,60.953756993865035,55.07177122448979,,,34.27166193916349,,66.356875,,51.82636132432432,49.94788714864866,40.90023705405406,0.011946621621621668,4.09501145945946,"Thyago Vieira",14510,600986
"Trevor Rogers","- - -",124.1,53.25680066197183,48.52843765799256,,,42.34665032467533,,59.515182795497196,,51.856786576014265,44.69915531876952,50.6931660722247,0.010056584930896142,4.092177628176549,"Trevor Rogers",22286,669432
"Steven Okert","MIN",35.1,44.46232547945205,56.102342352941186,,,53.44675378082191,,45.02379973469388,,51.85895379254457,59.28185168557537,46.95317027552672,0.009921004862236616,4.0919736952998385,"Steven Okert",13580,595345
"Landen Roupp","SFG",50.1,20,45.14672948228884,,,40.43082184210526,68.42324160000001,37.55251070588235,,51.86521399117972,52.772976890848945,47.435222260198465,0.009531686879823626,4.09138887541345,"Landen Roupp",30076,694738
"JoJo Romero","STL",59,35.58964032967034,55.0281545224719,,,55.45553574193549,,42.78315922580644,,51.87150660831512,55.0141534354486,49.09756329321662,0.009141498905908088,4.090804420131291,"JoJo Romero",19574,668941
"Cole Irvin","- - -",111,49.01293931330472,47.99307610707357,54.03263916913397,,49.51237356800766,58.74740154708521,54.85493968962751,,51.92954283936652,34.129810475113125,58.01167725678733,0.0055362500000000064,4.085396787330317,"Cole Irvin",19244,608344
"Ryan Weathers","MIA",86.2,56.46030577540106,58.71344847953217,,,39.96759318471338,,53.41785596730245,,51.94701072084805,57.08662913780918,49.6602842402827,0.0044508480565371425,4.083768897526502,"Ryan Weathers",23796,677960
"Richard Lovelady","- - -",34.1,60.29619057692308,41.65303331491712,,,50.13880794238683,,,,51.979351628787875,56.85561611742424,52.156832878787874,0.002440719696969691,4.080753617424242,"Richard Lovelady",19337,663992
"David Bednar","PIT",57.2,57.58498073214285,,,56.36954942622952,,41.80075368932038,,,51.99387902366863,56.64508055226827,45.21480418145956,0.0015387376725838112,4.079400522682446,"David Bednar",19569,670280
"Victor Vodnik","COL",73.2,50.55238769512195,,,,50.2842153030303,,61.79316287037036,,52.00901026697178,58.1866302440885,45.02799630816171,0.0005988482074752398,4.077990541571318,"Victor Vodnik",24614,680767
"Buck Farmer","CIN",71,36.32271269230769,48.656116443661965,,,59.891222260442255,,55.65661111530179,,52.10260871904355,47.58102888983775,51.80917386848847,-0.005216029035012823,4.069268497011101,"Buck Farmer",14814,571656
"Michael Tonkin","- - -",79.1,56.249967681327256,58.51742227957272,,,42.54280069218384,,,,52.166529288724874,51.10884195663416,47.36652254931833,-0.009187978354653,4.063310349061283,"Michael Tonkin",10315,543859
"Luke Weaver","NYY",84,51.94929381381382,,52.74010267741935,,,,57.19746112860893,20,52.16761122270742,56.07538969432314,45.98483106986899,-0.009255320232896672,4.063209505094613,"Luke Weaver",16918,596133
"Louie Varland","MIN",49.2,60.602117519582244,53.435488235294116,43.06240296,,,,51.70065159574468,46.34105792857142,52.214005027746936,55.67131784683685,53.7080722863485,-0.012137358490566087,4.058886392896781,"Louie Varland",27691,686973
"Yohan Ramírez","- - -",45,52.26327364341086,49.38192551029779,,,50.20873212669683,45.27595902912621,,,52.21821123537061,65.17666371911574,40.26081958387516,-0.012398387516254885,4.058494499349805,"Yohan Ramirez",19444,670990
"Gavin Stone","LAD",140.1,53.15779449248121,56.95716012345679,52.96501095652172,,53.04550307042253,64.55569615384616,48.3803577312391,,52.36625350209011,49.67818504876915,56.99818448676265,-0.021594714352066852,4.0447013608917795,"Gavin Stone",27792,694813
"Fernando Cruz","CIN",66.2,52.12705431635389,,58.52878474226805,53.406613354297704,,,,,52.43438300263391,55.04217088674277,35.62908171202811,-0.02582846356453048,4.0383498595258995,"Fernando Cruz",7048,518585
"Bryan Hoeing","- - -",53.2,35.001725385638295,55.59107805063291,,57.26580372670809,38.330981340782124,,,,52.44834691815857,43.31437659846548,54.800179526854215,-0.02669547314578006,4.037049386189258,"Bryan Hoeing",26304,663773
"Seth Martinez","HOU",52.2,51.16508794676804,53.55041899408283,,,58.65283625984254,,40.662350826446286,,52.49527679408138,56.45320987669542,49.752341183723814,-0.029610752157829774,4.0326755733662125,"Seth Martinez",21045,661527
"Hogan Harris","OAK",72.1,55.00244740849195,,,,48.40047800793651,56.94304742105263,51.18413399999999,,52.53045207749381,53.49075014014839,54.26870707337181,-0.03179572959604284,4.029398573784007,"Hogan Harris",21520,663687
"Porter Hodge","CHC",43,47.828753129770995,,,63.76980375,58.320922614107886,,,,52.57770884914462,69.86093311041991,41.250715723172625,-0.03473177293934682,4.02499493001555,"Porter Hodge",26413,687863
"Luis L. Ortiz","PIT",135.2,49.842489001538524,50.78246723286661,57.68592296469825,,47.74709027384891,,28.395878999999997,,52.62030634196274,53.539068667073856,51.03322564889252,-0.037379456552508045,4.021023080189035,"Luis L. Ortiz",27646,682847
"Josh Winckowski","BOS",76,32.784640321239614,55.99084746250059,51.262677865032316,,46.04971758727773,,51.311364791562305,,52.708611849936744,52.569565139073376,55.485865963630616,-0.04286473347564829,4.012794695604048,"Josh Winckowski",22387,670174
"Brennan Bernardino","BOS",51,,59.21603897500001,33.251397708333336,,49.524878297872334,49.196147781456965,,,52.7221445232558,45.8974415,53.31678844186047,-0.04370494186046515,4.011534813953489,"Brennan Bernardino",16835,657514
"Carlos Hernández","KCR",30,62.09787118811881,,20,35.81187031249999,44.34417790909092,,,45.51712746835443,52.759068125,55.98779516071428,49.199002321428566,-0.04599989285714285,4.0080929464285715,"Carlos Hernandez",22713,672578
"Jake Diekman","NYM",32,58.523884114441415,20,,,41.792458869047614,,48.09262561403509,,52.85273888701518,68.29799591905565,42.379252765598665,-0.051818920741989884,3.9993640472175396,"Jake Diekman",5003,518617
