Name,Team,PA,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Abraham Toro","OAK",364,9.475979086418986,,5.317497815583882,1.2137005228391835,,4.825103759765625,1.7435275540493502,-5.271215504613416,-6.435833304268973,9.466270446777344,3.1942462300145347,,,"Abraham Toro",19844,647351
"Emmanuel Rivera","- - -",302,9.376033317752,,5.2571120723601314,2.5211887463279394,,4.419830843933627,1.4420711517333984,-5.650224483714384,-4.178123513857524,5.899237155914307,2.860400851410214,,,"Emmanuel Rivera",19890,656896
"Connor Wong","BOS",487,9.34524658203125,,5.369298647527826,2.3509853907993863,,4.389540890022106,1.0327841825263444,-4.666156296502976,-5.251593017578125,9.043509483337402,3.6230902004736074,,,"Connor Wong",19896,657136
"Gavin Sheets","CHW",501,9.027474694567852,,4.923062737612801,1.5733277694038723,,4.323543262104743,0.973817585199859,-5.596559877748843,-5.660393269856771,,2.807352626190753,,,"Gavin Sheets",19901,657757
"Blake Perkins","MIL",434,9.031138414254217,,5.0869483698427285,2.4184636825170274,1.3412833213806152,3.9082623106060606,1.2301867338037302,-5.6483643360627,-4.614287906222874,,2.9809868706597222,,,"Blake Perkins",19921,663368
"Luke Williams","ATL",52,9.468718947025767,,5.110795157296317,,,4.837939453125,0.47632946968078616,-4.941224905160757,-4.8805850346883135,,4.2088057200113935,,,"Luke Williams",19931,663897
"Eguy Rosario","SDP",57,8.173947288876487,,4.742664337158203,,4.693017578125,5.8165409739424545,1.547255622016059,-3.604684127004523,-1.7115015983581543,,2.3991018442007213,,,"Eguy Rosario",19964,666703
"Bobby Dalbec","BOS",93,9.231135956228595,,5.473340352376302,5.166261196136475,,4.869071960449219,1.0245622577089253,-6.392000983743107,-5.135483264923096,9.38283602396647,4.223277537027995,,,"Bobby Dalbec",19966,666915
"Bryce Johnson","SDP",73,9.326054411114386,,3.6552734375,-0.9831733703613281,,4.552328427632649,1.2886285781860352,-5.914676867033306,-4.643131573994954,-3.252249240875244,3.794648960658482,-1.669921875,,"Bryce Johnson",20002,669369
"Miles Mastrobuoni","CHC",106,9.18616626880787,,4.217021942138672,2.836876153945923,,3.6709907933285364,1.3705933094024658,-4.452847516095197,-7.050838046603733,5.390164375305176,3.622145080566406,,,"Miles Mastrobuoni",20017,670156
"Isaac Paredes","- - -",641,9.352760620117188,,4.80012681749132,2.119887351989746,,4.365417359845911,0.9916400585299224,-4.984594755083601,-5.574828948974609,5.935460090637207,3.3933243221706815,,,"Isaac Paredes",20036,670623
"Luis Robert Jr.","CHW",425,9.124131362325643,,5.2080915178571425,1.0671666797838713,,5.040433408602463,1.0789182411049896,-5.479474804069422,-2.61120631777007,,3.2277854777270965,,,"Luis Robert Jr.",20043,673357
"Bligh Madris","DET",75,8.664156891578852,,4.736322402954102,1.4589611551036006,,3.0366543185326362,1.2792286343044705,-7.4507589901194855,-6.612406158447266,,2.155615203234614,,,"Bligh Madris",20054,676632
"Alan Trejo","COL",67,8.142806779092817,,3.8312880198160806,,,4.096966213650173,0.9101031167166573,-4.3248973645662,-4.231153170267741,,2.0214852419766514,,,"Alan Trejo",20056,676701
"Juan Soto","NYY",713,9.537739146839488,,5.05896384852707,2.508442090905231,,4.679400900135869,0.9358970798775671,-5.599477407094595,-5.72910753885905,,2.8977309629141565,,,"Juan Soto",20123,665742
"Dylan Carlson","- - -",265,9.430362710976661,,5.138426878741968,2.8283425058637346,-0.7996131181716919,4.7933214973000915,0.7691849697841687,-4.589842204806171,-5.098879740788386,,3.3612622180617,,,"Dylan Carlson",20126,666185
"Miguel Vargas","- - -",237,9.229553897077865,,4.81148268959739,1.8771209716796875,,4.547510893448539,1.0737702148970558,-5.514900045191988,-4.637280993991428,9.153841018676758,3.256262610940372,,,"Miguel Vargas",20178,678246
"Ben Rortvedt","TBR",328,9.064558672664141,,4.560755906906803,0.41985081954741144,,4.058306343947785,0.8497553686400754,-5.2569768996465776,-5.723800072303185,,2.6080278927052514,,,"Ben Rortvedt",20287,666163
"Jake Meyers","HOU",513,9.622978874516441,,5.618965262797341,1.1163739703950428,,4.771914898149119,1.1612952562621595,-5.518890677146541,-6.039663696289063,-0.5120432717459542,4.111323229131852,,,"Jake Meyers",20308,676694
"Corey Julks","CHW",189,9.18790131270118,,5.278908587516622,2.3857270754300632,,4.632653051568556,0.7439465624220828,-5.523663260719993,-5.0825510892001065,,2.5562603520412073,,,"Corey Julks",20311,667452
"Stuart Fairchild","CIN",233,8.847174832141064,,4.627544627470129,3.4290833246140253,,5.178537469161184,1.3475260215230507,-5.311910901750837,-2.798182319192325,,3.5016992872006427,,,"Stuart Fairchild",20321,656413
"Alex Kirilloff","MIN",178,9.174139883003983,,5.176904566147748,1.2955524303294994,,4.041211028597248,0.8891519165039062,-5.371454412286932,-5.81690179734003,,2.8465879552504596,,,"Alex Kirilloff",20325,666135
"Ernie Clement","TOR",452,9.574281318702889,,4.850203256758433,1.5240019629983341,,4.673932127143502,1.0208937701056986,-5.701917940027574,-5.790217876434326,6.131542682647705,3.035362981980847,,,"Ernie Clement",20352,676391
"Nick Madrigal","CHC",94,9.08700117092688,,5.080988390692349,1.8509830474853515,,5.493602611400463,1.202587088358771,-6.951155229048296,-4.766188144683838,,3.83674217672909,,,"Nick Madrigal",20521,663611
"Nolan Jones","COL",297,8.254064587579258,,3.7743402146201097,2.615825258452317,,4.108566770128384,0.5361809312251576,-4.4827745654914954,-5.557191772460937,,2.8399728393554686,,,"Nolan Jones",20529,666134
"Kody Clemens","PHI",120,8.926827277926451,,4.894716089422053,1.825926250881619,,3.376512689105535,1.2919697915354083,-5.34449273186761,-2.1245110829671225,,2.0063255627950034,,,"Kody Clemens",20572,665019
"Iván Herrera","STL",259,8.803507867260514,,4.249676106770833,3.783416203090123,-0.10231086611747742,4.6256957460412,1.037084167749346,-5.794242576316551,-4.5065143291766825,,3.3172147774402005,,,"Ivan Herrera",20599,671056
"Leo Rivas","SEA",86,8.96874440899332,,5.340662989123114,1.791673469543457,,4.104266079989347,1.4945309404013813,-3.564368111746652,-6.893395015171596,8.719932556152344,2.161174201965332,,,"Leo Rivas",21009,660844
"Trey Cabbage","HOU",91,9.325453595417303,,5.179111735026042,0.9479829036828243,,3.8469807942708334,0.36979545487297905,-4.373257160186768,-5.790549278259277,8.643946647644043,1.3884667450526975,,,"Trey Cabbage",21078,663550
"Lars Nootbaar","STL",405,8.99082245095803,,4.262017206314507,2.0219524322994173,,4.388012259347098,0.7316674684223375,-5.279343605041504,-3.5642850322108113,,2.6543673001802883,-2.219877243041992,,"Lars Nootbaar",21454,663457
"Nico Hoerner","CHC",641,9.187977246645481,,4.551121409346417,2.1008938756482354,,4.47092138671875,1.1275743105709028,-4.9045427229020975,-5.232093147609545,,3.5752588054477767,,,"Nico Hoerner",21479,663538
"Joey Bart","PIT",282,8.979563993566176,,4.749244312248607,2.3716724537037037,,4.5510619156003935,0.6493004275039888,-4.727188602570565,-4.489553451538086,,3.4935584130225243,,,"Joey Bart",21524,663698
"Cal Raleigh","SEA",628,9.30650706751882,,4.880645300954433,1.9452318849816788,,4.437275231402853,1.0743736215189201,-5.31741363833649,-5.216710788100513,8.257761637369791,3.4755859375,0.6674524545669556,,"Cal Raleigh",21534,663728
"Matt Vierling","DET",567,9.250579013218216,,4.586770491166548,1.6523207092285157,,4.571419428853155,1.2837541168811275,-5.830837381297145,-5.305460149591619,,4.060209758541127,,,"Matt Vierling",21558,663837
"Romy Gonzalez","BOS",216,9.077700685725983,,4.612998064826517,1.6050401834341197,,3.5047626953125,0.7352642570574259,-4.669748306274414,-5.377651330196496,,3.4512710571289062,,,"Romy Gonzalez",21562,663853
"Kyle Isbel","KCR",426,9.041351378315325,,5.026467394472948,1.510886549949646,,4.057407025209407,1.4366105975526753,-5.815372443347243,-5.528080866887019,,3.2422010633680554,,,"Kyle Isbel",21614,664728
"Griffin Conine","MIA",89,9.109504838423295,,5.3164725052682975,4.65423583984375,,4.04139883858817,1.982134501139323,-5.055598958333333,-4.582160631815593,10.229842185974121,3.522962109795932,0.6006500720977783,,"Griffin Conine",21626,665052
"Jeremy Peña","HOU",650,9.52650005314626,,4.999303978609752,1.81665065370757,,4.6285606010127935,1.020065113237709,-4.476804460797991,-5.13111716822574,1.1308051347732544,3.857215778710062,-1.8408867120742798,,"Jeremy Pena",21636,665161
"Miguel Amaya","CHC",363,8.925335932044344,,4.739673614501953,2.540373081114234,,4.423196176382212,0.8537314214055546,-5.321350539939991,-4.762074103722205,6.937960624694824,3.261110367313508,,,"Miguel Amaya",21693,665804
"Oswaldo Cabrera","NYY",326,9.271121998732003,,5.104020182291666,2.281990275663488,,3.9275978284004407,0.7569822423598346,-6.819477314851722,-6.2721396053538605,8.529057502746582,2.8992778104894303,,,"Oswaldo Cabrera",21707,665828
"Oneil Cruz","PIT",599,8.795206231801165,,4.895094050917515,1.3424803966612329,,4.422176742553711,0.9037051635969506,-5.235456653107378,-6.020377525916467,,2.7655369349888392,,,"Oneil Cruz",21711,665833
"José Fermín","STL",79,9.559586085630267,,4.729407461065995,1.828355312347412,,5.991727327045641,1.2051787505278717,-3.4297935485839846,-6.512608528137207,,3.138768282803622,,,"Jose Fermin",21746,665877
"Esteury Ruiz","OAK",65,9.26867374373071,,5.629492017957899,,,5.164228265935725,1.0702141728894463,-5.005084493885869,-3.826310873031616,,1.9410149710518974,,,"Esteury Ruiz",21780,665923
"Andrés Chaparro","WSN",132,9.299348695816532,,4.930708260371767,4.270949681599935,,5.959212677388251,0.9810464548510175,-4.950635006553249,-7.175970077514648,,2.363761485706676,,,"Andres Chaparro",21797,665953
"Jonathan Aranda","TBR",143,9.647984288674033,,5.10985297125739,1.0894110202789307,,4.112349681365184,0.014536667473708527,-6.4083913949819715,-7.781334686279297,,1.9606153843766552,,,"Jonathan Aranda",21837,666018
"Jerar Encarnacion","SFG",119,8.819421583606351,,4.2882262520168135,5.875518253871372,,4.217386773292055,0.5245218428354415,-6.04143545968192,-5.488955603705512,-4.196196873982747,3.1973959881326426,,,"Jerar Encarnacion",21871,666464
"Christopher Morel","- - -",611,9.401813759895067,,5.1790330875554735,2.258552396020224,,4.46286839177603,1.0201328822544642,-5.494439318289165,-5.396700268700009,,3.320353642808205,,,"Christopher Morel",21897,666624
"Dane Myers","MIA",108,9.154495902683424,,4.266520606146918,0.09052122632662456,,4.808563232421875,1.0241160583496094,-5.878140585763114,,,3.032312807829484,,,"Dane Myers",22054,667472
"Akil Baddoo","DET",82,8.838368733723959,,4.086656907025506,-0.6990149815877279,,1.9868637476211939,1.3479528119487147,-4.176685878208706,-2.602442502975464,6.306098461151123,2.635612055940448,,,"Akil Baddoo",22168,668731
"Brice Turang","MIL",619,8.987805106814971,,4.962179532615087,0.922211692446754,,4.3225170581371755,1.3295516385376909,-5.150017863948171,-6.040192740304129,9.53263028462728,3.4721259928990476,-1.232970118522644,,"Brice Turang",22186,668930
"MJ Melendez","KCR",451,8.979156449589416,,4.71405029296875,1.757708097759046,,4.787773132324219,0.7309366520619233,-5.175057336055871,-7.578481674194336,,3.160273789318368,,,"MJ Melendez",22197,669004
"Luis Campusano","SDP",299,9.330855789718095,,4.2143419483039954,2.3554581728848545,,4.7253186625819055,1.1460352717219173,-4.866826446963028,-4.39835680448092,8.107011159261068,2.760963722511574,,,"Luis Campusano",22217,669134
"Mason McCoy","SDP",57,9.806969052269345,,5.7475771222795755,1.5709885358810425,,4.679053616810994,1.0705902393047626,-5.603787231445312,-1.3024455706278484,,1.2388693809509277,,,"Mason McCoy",22232,669200
"Jack Suwinski","PIT",277,8.74626171875,,4.8325253693953805,2.6781968858506944,,3.8031439982669455,1.2291793002877185,-5.361122785295759,-4.621169517780173,-3.243304491043091,3.202506968517177,,,"Jack Suwinski",22244,669261
"Nick Allen","OAK",105,9.539324685801631,,5.076816813151042,1.3245078325271606,,5.474732619065505,1.7752050316852073,-4.201862232105152,-5.035686492919922,,4.045625141688755,,,"Nick Allen",22277,669397
"Taylor Walls","TBR",252,9.372997593713746,,5.075009315892269,2.2858606226303997,,5.09477057823768,0.6582349791143932,-4.742698267886513,-5.04310941696167,,3.3700616745721725,,,"Taylor Walls",22458,670764
"Triston Casas","BOS",243,9.663604113520408,,5.433656939338236,1.8364951035072064,,4.831701161910076,0.9690205285308557,-5.821342699455492,-6.55641350379357,,3.3137539213737557,,,"Triston Casas",22514,671213
"Heliot Ramos","SFG",518,9.040392868648748,,4.714165020706062,2.714336077372233,,4.781483744526957,0.811281377618963,-5.2648876953125,-5.185795639500474,,3.217191108367728,-1.777316927909851,,"Heliot Ramos",22515,671218
"Tyler Freeman","CLE",383,9.106399151457458,,4.916247097951062,2.4054088592529297,-1.983859896659851,4.476508418215981,0.926900619115585,-4.603100023771587,-4.887685139973958,,3.040434403852983,,,"Tyler Freeman",22532,671289
"Lawrence Butler","OAK",451,9.155261724606447,,5.469739261089555,0.384992778301239,,4.304869745818662,1.3480941325134874,-5.640256219161184,-5.2478778545673075,7.562421526227679,2.999641019708188,,,"Lawrence Butler",22542,671732
"Michael Siani","STL",334,8.861381224143026,,4.819779355301816,2.4535990494948168,,4.36262747541589,0.8904743471007416,-5.088706970214844,-3.8945907592773437,,2.556079908349048,,,"Michael Siani",22557,672279
"Gabriel Arias","CLE",161,8.308902055789263,,5.303518442007212,-0.26478417714436847,,3.76016116836696,0.9815813185851698,-3.9315346382759713,-4.498731231689453,,2.326885675979873,,,"Gabriel Arias",22563,672356
"Alejandro Kirk","TOR",386,9.595067438089623,,5.051670747644761,1.4570058739703635,,4.933217631906703,0.746586690813103,-5.378562099962349,-4.04150390625,4.826660792032878,3.8738125637844876,,,"Alejandro Kirk",22581,672386
"Maikel Garcia","KCR",626,9.24851032838983,,5.27247475678066,2.4999047303811097,,4.617710141782408,1.346347676426911,-5.03948546292489,-3.814372621733567,,4.003215613731971,,,"Maikel Garcia",22715,672580
"Wenceel Pérez","DET",425,9.194271811956092,,5.10739982565036,1.417945384979248,,4.669624490940825,1.6385631168820731,-5.353511555989583,-5.898002378402218,,3.773183790303893,-1.709342320760091,,"Wenceel Perez",22857,672761
"Lenyn Sosa","CHW",369,9.157395260528434,,4.426868785511363,1.8688412620907737,,4.829164400382384,1.177367385993936,-5.356549580891927,-5.619103204636347,,3.07426020304362,,,"Lenyn Sosa",22896,672820
"Yainer Diaz","HOU",619,9.75734009781504,,4.926087460275424,1.8790550925514915,,4.989994860946611,0.9834727738150812,-4.935511577560241,-6.55714111328125,,4.029196181055587,,,"Yainer Diaz",23003,673237
"Jacob Amaya","- - -",72,9.444868572687698,,4.010409461127387,-1.025923252105713,,4.700361500615659,0.9224989432554979,-5.617020980171535,-5.679370880126953,,4.029441138972407,,,"Jacob Amaya",23296,676070
"Ryan Noda","OAK",111,9.65606656814004,,5.8507451837713065,0.040105929500178286,,4.4883295315415115,1.2270047187805175,-5.435789025348166,-5.737529209681919,,3.3586575908045613,,,"Ryan Noda",23312,676116
"Nelson Velázquez","KCR",230,9.344319661458334,,4.19534438915467,2.428935831243342,,4.694203969594595,0.5830148165343237,-4.860547797624455,-2.9024330139160157,,3.668220357691988,,,"Nelson Velazquez",23359,676369
"Eric Wagaman","LAA",74,9.560073527883976,,5.736037360297309,0.9553312574114118,,5.11408167300017,1.2915632360121783,-5.137000656127929,,,4.003206426447088,,,"Eric Wagaman",23395,676572
"José Caballero","TBR",483,9.809344459562267,,4.857800452537786,1.71691211901213,,4.600388138382523,0.8279249467922531,-5.03613001699666,-5.193734645843506,,2.993748145767405,,,"Jose Caballero",23401,676609
"Brayan Rocchio","CLE",442,8.95118732150703,,4.590499230587121,1.3392769598191785,,3.81983096296616,0.9876793394697473,-5.354673032407407,-5.292011167944931,,2.791919414813702,,,"Brayan Rocchio",23690,677587
"José Tena","- - -",168,8.937718772103267,,5.083718818530702,3.130071786733774,,5.390973496711117,0.19576653021353263,-5.5472662327653275,-5.759833115797776,,3.5753658551436205,0.31049785017967224,,"Jose Tena",23691,677588
"Julio Rodríguez","SEA",613,9.490219273518042,,4.893764344985875,1.7565541700883345,,4.913149389890161,1.3048244269319282,-5.208489620324337,-5.52582763671875,,3.658419763617836,0.6853176951408386,,"Julio Rodriguez",23697,677594
"Ezequiel Duran","TEX",285,9.247104092963836,,4.677675559303977,2.1716999727136947,,4.864661558426637,0.5148510313870615,-3.82134313168733,-5.950797080993652,,2.2046137965002726,,,"Ezequiel Duran",23733,677649
"Alek Thomas","ARI",103,8.76574267138232,,4.684248860677084,2.8948679837313565,,4.4149169921875,1.5436939663357205,-5.5928769792829245,-7.403746795654297,,3.1432685073541133,,,"Alek Thomas",23792,677950
"Parker Meadows","DET",298,9.423905806107955,,5.255143094653926,1.061391713667889,,4.21358934089319,1.2268480573381697,-6.453294118245442,-6.073300679524739,7.626636505126953,2.8915098302504596,,,"Parker Meadows",23800,678009
"Ji Hwan Bae","PIT",81,8.525378075715537,,4.792439778645833,0.6390316486358643,,4.3833510178786055,-0.09927157119468406,-4.849270728326613,-7.011920928955078,,2.2822498908409705,,,"Ji Hwan Bae",23818,678225
"Jhonkensy Noel","CLE",198,9.369150172398744,,4.041511027018229,2.8735387325286865,,5.746810271960347,0.6419438052939498,-5.221375506857167,-4.43202543258667,,3.371216179342831,,,"Jhonkensy Noel",24257,678877
"Johan Rojas","PHI",363,9.212478398028468,,4.160593553022905,2.333350419998169,,4.755332313289712,0.8379957130789428,-4.7125701904296875,-4.007086533766526,,3.956268628438314,,,"Johan Rojas",24336,679032
"Max Schuemann","OAK",459,9.45094331781915,,4.521250827253358,1.6364936828613281,,4.720272943037974,1.5588971819196429,-5.387237548828125,-5.753518581390381,7.863955361502511,4.163448138828695,,,"Max Schuemann",24488,680474
"Richie Palacios","TBR",316,9.267794138824884,,4.923927774234694,0.9000922309027778,,4.001231981360394,0.6736834270198171,-5.1487272563733555,-6.151285105738147,,2.2674708212575605,,,"Richie Palacios",24589,680700
"Ryan Jeffers","MIN",465,9.393480950736649,,5.096579851422991,2.9459256772641784,,4.526851235097543,0.900303196262669,-5.059756919985912,-4.198312632242838,,3.8645054971018147,,,"Ryan Jeffers",24618,680777
"David Hensley","MIA",58,9.483700434366861,,5.175266265869141,3.741297721862793,,4.3858272411205155,1.7908045450846355,-4.495263780866351,-5.683423178536551,,3.249819781329181,,,"David Hensley",25111,682073
"Michael Stefanic","LAA",124,8.930211525595649,,5.08019360628995,1.2776019096374511,,4.436680741743608,1.538847253677693,-2.6595656077067056,-3.9742860794067383,,4.029897836538462,,,"Michael Stefanic",25353,683021
"Austin Shenton","TBR",50,9.493635506465518,,5.7882400020476314,1.4790131251017253,,3.5473333994547525,0.44712617180564185,-3.7976937727494673,-4.576014041900635,,2.20043211716872,,,"Austin Shenton",25425,668853
"Nick Sogard","BOS",86,9.614210340711805,,5.831562130950218,4.041005706787109,,4.49103017953726,0.9430906950537838,-4.84182071685791,-5.402657402886285,,4.0172065734863285,,,"Nick Sogard",25483,686765
